,symptoms,clasificacion
25,"I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful.",dermatology
26,My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change.,dermatology
27,"I've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body.",dermatology
28,"My genital skin is red and irritated. It is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints.",dermatology
29,"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails.",dermatology
30,"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in excruciating agony. The skin on my knees and elbows is beginning to flake.",dermatology
31,"My skin is breaking out in rashes. When I scratch or rub the rash, it frequently bleeds. In addition, I've observed little dents in my nails. There is a noticeable inflammation in my nails.",dermatology
32,"I've observed that my skin is more sensitive now than it used to be. My skin has a silvery film, especially on my back and elbows.",dermatology
33,"My palms and soles have grown and developed severe fissures. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off.",dermatology
34,"My nails are starting to have small pits on them. I am worried and don't know what is causing it. Also, my joints pain and there are rashes on my arms and back.",dermatology
35,"There is a silver like dusting on my skin. Moreover, the skin on my arms and back are starting to peel off. This is strange and really concerning me.",dermatology
36,"My skin rash has extended to other areas of my body, including my chest and belly. It is irritating and unpleasant, and it is frequently worst at night. I'm also experiencing skin flaking.",dermatology
37,"My skin rash gets worse in the winter when the air is dry. To keep my skin moisturized, I have to moisturize more regularly and use humidifiers. I am also facing joint pain.",dermatology
38,I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents. I am also experiencing skin peeling in different parts of my body.,dermatology
39,"My skin is peeling in places, especially on my knees, elbows, and arms. This peeling is often accompanied by a painful or burning sensation. I am also developing small dents on my nails, which is really concerning.",dermatology
40,"My skin has a silvery layer over it, especially on my back and arms. This dusting is made up of small scales that peel off readily when rubbed. Also, there are rashes all over my body.",dermatology
41,"My arms, face and back are all red and irritated. It is frequently irritating and unpleasant. My nails have a strange inflammation and have developed small dents. I have never seen anything like this.",dermatology
42,"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. Moreover, my joints pain everyday and I have no idea what is causing it.",dermatology
43,My fingers and soles have pretty thick skin that is cracked severely. These fractures hurt and bleed frequently. The fractures are itchy and covered with scales.,dermatology
44,"My skin has changed from being less sensitive to being more sensitive. My skin has a silvery coating, especially on my back, elbows and knees.",dermatology
45,"My nails are slightly dented. Even my joints are now experiencing excruciating discomfort. My skin has a silver-like powder, especially on my back and elbows. ",dermatology
46,"I've had trouble falling asleep because of the rash's pain and itching. The skin on my fingers are starting to peel off. My nails have a few tiny cracks, which is really worrying. ",dermatology
47,"My joints are experiencing an unusual discomfort. Additionally, I've experienced weird skin peeling in various places on my body. I'm concerned that something is wrong with my body. ",dermatology
48,"I am starting to have rashes on my arms and neck. The rash often bleeds and hurts when I scratch it. I have also developed small dents in my nails, which is very strange.",dermatology
49,"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in extreme pain . My knees and elbows' skin are starting to peel off.",dermatology
50,"I have a rash on my legs that is causing a lot of discomforts. It seems there is a cramp and I can see prominent veins on the calf. Also, I have been feeling very tired and fatigued in the past couple of days.",dermatology
51,"My calves have been cramping up when I walk or stand for long periods of time. There are bruise marks on my calves, which is making me worried. I feel tired very soon.",dermatology
52,"There is bruising on my legs that I cannot explain. I can see strange blood vessels below the skin. Also, I am slightly obese and I am really worried.",dermatology
53,I am overweight and have noticed that my legs are swollen and the blood vessels are visible. My legs have swollen and I can see a stream of swollen veins on my calves.,dermatology
54,"The veins on my calves have become very prominent and causing discomfort. I can't stand for long periods of time, as it causes pain in my legs, similar to cramps.",dermatology
55,The skin around the veins on my legs is red and inflamed. I believe I can see some of the swollen blood vessels. I am really worried about it.,dermatology
56,Standing or walking for long periods of time causes a lot of pain in my legs. I get cramps upon doing physical activities. There are bruise marks on my legs too.,dermatology
57,The cramps in my calves are making it difficult for me to walk. I feel fatigued after working for some time. I believe obesity is the reason behind this.,dermatology
58,"The swelling in my legs has gotten worse over the past few weeks. Now, a large number of veins are noticeable on my calves, which is making me worried.",dermatology
59,The veins on my legs are very noticeable and cause me discomfort. It seems like there is a major bruise and I get cramps when I run.,dermatology
60,The skin on my calves has become inflamed and red. My legs hurt if I try to run or do any physical activities.,dermatology
61,"Recently, the pain in my calves has been constant and becomes worse when I stand or walk for long periods of time. My legs have started to swell and also some blood vessels are quite noticeable.",dermatology
62,The veins in my legs are causing discomfort and difficulty sleeping at night. I have no idea why it is happening. I get cramps when I sprint.,dermatology
63,The swelling in my legs is causing me to have difficulty fitting into my shoes. I can't sprint or stand for long periods of time. I can see some swollen blood vessels.,dermatology
64,I have noticed cramps in my calves are becoming more frequent and intense. It is causing me a lot of discomforts. I am also overweight and my legs have started to swell.,dermatology
65,The veins on my legs cause a lot of discomforts when I sit for long periods of time.,dermatology
66,The rash on my legs is spreading and becoming more severe. It has become very difficult for me to run.,dermatology
67,My legs are causing a lot of discomforts when I exercise. I get frequent cramps and the blood vessels have become quite noticeable.,dermatology
68,The prominent blood vessels on my calves are causing self-consciousness and embarrassment. I believe the problem is because of my overweight.,dermatology
69,The skin around the veins on my legs is dry and flaky. It seems there is a major bruise and my legs have started to swell.,dermatology
70,I have been experiencing a rash on my legs that is causing a lot of irritation and discomfort. It is red and inflamed and appears to be spreading.,dermatology
71,"Recently, my calves have been cramping up frequently, especially when I am walking or standing for long periods of time. Also, the veins are very noticeable.",dermatology
72,I have noticed that there are bruises on my legs that I cannot explain. They are not painful but are concerning to me.,dermatology
73,"As I am overweight, I have noticed that my legs are swollen and the blood vessels are more visible than usual. The swelling seems to be getting worse over time.",dermatology
74,The veins on my calves are very prominent and are causing me a lot of discomforts. They are swollen and protrude from my skin.,dermatology
75,"The skin around the veins on my legs is red, inflamed, and itchy. It is causing a lot of discomforts and I am starting to get regular cramps.",dermatology
76,Standing or walking for long periods of time has been causing a lot of pain in my legs. It feels like a cramp and becomes worse the longer I am on my feet.,dermatology
77,The cramps in my calves have been making it difficult for me to walk and do my daily activities. They come on suddenly and last for several minutes.,dermatology
78,The swelling in my legs has gotten worse over the past few weeks and is causing me difficulty fitting into my shoes. It is also causing discomfort when I sit for long periods of time.,dermatology
79,"The veins on my legs are very noticeable and are causing me a lot of discomforts. They are swollen and protrude from my skin, making them visible through my clothing.",dermatology
80,"The skin on my calves is itchy and inflamed, causing a lot of discomfort and difficulty sleeping at night. The blood vessels have started to protrude out, which is concerning.",dermatology
81,The pain in my calves is constant and becomes worse when I stand or walk for long periods of time. I am getting constant cramps and can't run for longer periods of time.,dermatology
82,"The veins in my legs are causing discomfort and difficulty sleeping at night. They are swollen and protruding from my skin, making them noticeable and painful.",dermatology
83,The swelling in my legs is causing me to have difficulty fitting into my shoes and is causing discomfort when I sit for long periods of time.,dermatology
84,"The cramps in my calves are becoming more frequent and intense, making it difficult for me to walk and do my daily activities.",dermatology
85,"The veins on my legs are causing a lot of discomforts when I sit for long periods of time. They are swollen and protruding from my skin, making them painful and noticeable.",dermatology
86,"The rash on my legs is spreading and becoming more severe. It is red, inflamed, and itchy, causing a lot of discomfort and difficulty sleeping at night.",dermatology
87,"My legs have been causing a lot of discomforts when I exercise. They feel heavy and swollen, and the veins are prominent and painful. I feel fatigued all the time.",dermatology
88,"The prominent veins on my calves are causing self-consciousness and embarrassment. They are swollen and protrude from my skin, making them very noticeable.",dermatology
89,"The skin around the veins on my legs is dry and flaky, causing discomfort and irritation. I am also starting to get frequent cramps.",dermatology
90,"I have a rash on my legs that is giving me a lot of pain. There appears to be a cramp, and I can see visible veins on the calf.",dermatology
91,My veins of legs have become more visible and swollen than normal. They are visible through my skin and it hurts when I move.,dermatology
92,"Walking is tough for me because of cramps in my calves. Obesity, I believe, is the cause of this. After a while of working, I'm exhausted.",dermatology
93,The blood vessels on my legs are quite visible and give me a lot of pain. They're large and protrude from my skin. It is unusual and I am worried about it.,dermatology
94,"I have noticed that the blood vessels in my legs are getting more noticeable than usual. It is a little concerning to me. Moreover, I am experiencing cramps every day.",dermatology
95,My legs' swelling has become worse over the last couple of days. I can see the blood vessels protruding out of the skin. This is quite unusual.,dermatology
96,Long durations of standing or walking have caused severe discomfort in my legs. It's a burning ache that gets worse the longer I'm on my feet.,dermatology
97,"My legs' skin around the veins is unusual. There appears to be a large bruise. Nowadays, I get frequent cramps when I sprint or run.",dermatology
98,"I am experiencing too many cramps in the last couple of days. I think something is not right. I believe there is a small bruise on my calves, but I am not sure about it.",dermatology
99,"The veins in my calves are protruding out quite unusually. I am worried about it. Also, I am overweight and I believe this is the reason behind all of this.",dermatology
100,"I have constipation and belly pain, and it's been really uncomfortable. The belly pain has been getting worse and is starting to affect my daily life. Moreover, I get chills every night, followed by a mild fever.",infectology
101,"I've also had some diarrhea, which has been really unpleasant. It's been coming and going, and it's been accompanied by abdominal cramps and bloating.",infectology
102,"I have been experiencing chills and fever, along with severe abdominal pain. I've been feeling really miserable overall, and I just can't seem to shake these symptoms.",infectology
103,I've been having a lot of trouble keeping hydrated because of the vomiting and diarrhea. There is a mild fever along with constipation and headache.,infectology
104,"I've lost a lot of weight in the past week because I haven't been able to eat much due to nausea and vomiting. This is followed by mild fever, headache and belly pain. I'm really concerned about my health.",infectology
105,"The fatigue has been really uncomfortable, and I've had a lot of difficulties doing my usual activities. I've also been feeling really depressed and irritable. There is mild pain in the abdominal part too.",infectology
106,"I've had a persistent headache for the past week, and it's been getting worse. It's been accompanied by belly aches, constipation and diarrhea.",infectology
107,"I've been experiencing high fever, especially at night. It's been really uncomfortable. There is a mild headache along with constipation and diarrhea.",infectology
108,"I've been having a lot of difficulty breathing, and I feel like I'm constantly nauseous. I also have mild belly pain. It's been terrifying at times.",infectology
109,"Diarrhea has been really watery and foul-smelling, and it's been accompanied by abdominal pain. I feel like vomiting most of the time.",infectology
110,"I've been having a lot of trouble sleeping because of the high fever, headache and chills. I wake up every day having a terrible pain in my belly area.",infectology
111,"I've also been experiencing some diarrhea and constipation, which has been really worrying. It feels like a sharp, stabbing pain in my belly area. I feel tired all the time.",infectology
112,"I have had some constipation and belly pain, which has been really uncomfortable. The pain has been getting worse and it's really affecting my daily life.",infectology
113,"I am experiencing a lot of belly pain and constipation, which has been really annoying. Sometimes, I feel a strong urge to vomit, and because of all of these, I am feeling very weak.",infectology
114,"The abdominal pain has been coming and going, and it's been really unpleasant. It's been accompanied by constipation and vomiting. I feel really concerned about my health.",infectology
115,"I have been experiencing a lot of bloating and constipation, and it's been really uncomfortable. It feels like there's a lot of pressure and pain in my belly area.",infectology
116,"I am experiencing extreme belly pain and constipation. Every night, I have a severe fever along with chills and headaches. The last couple of days has been really uncomfortable.",infectology
117,"I've been feeling exhausted and weak, and I can't seem to get rid of it. Because of the vomiting and nausea, I've entirely lost my appetite. My belly pains which are causing me concern.",infectology
118,"I am experiencing constipation and stomach ache, which has been really difficult. The discomfort has gotten worse, and it is seriously interfering with my everyday life.",infectology
119,"Because of the vomiting and diarrhea, I've been having a lot of difficulties staying hydrated. I have a high fever, as well as constipation and headache.",infectology
120,The abdominal pain has been frequent and really painful. Constipation and vomiting have also occurred. I'm quite worried about my health.,infectology
121,"I'm having severe stomach pain and constipation. Every night, I get a headache and chills. The last few days have been really painful.",infectology
122,There is a distinct pain in my abdominal part. I am not sure what it is. I am also going through constant vomiting and feel nauseous.,infectology
123,"The diarrhea has been quite fluid and smelly, and it has been accompanied by severe abdominal pain and headache. Most of the time, I feel like vomiting.",infectology
124,"I have had a fever for the last couple of days. Now, I am starting to experience a severe pain in my stomach area and suffering from constipation.",infectology
125,"I am experiencing a lot of nausea and vomiting, and it's been quite difficult for me to eat anything. I've entirely lost my appetite, and as a result, I have become quite weak.",infectology
126,"I am having a lot of trouble sleeping because of the high fever and the headache. Moreover, I have constant belly pain, because of which I can't go to work.",infectology
127,"I have been feeling really fatigued and weak, and I can't seem to get rid of it. I have a mild fever and a strange pain in my abdominal area. I can't understand what is happening.",infectology
128,"I've been suffering from constipation and stomach discomfort, which has been really uncomfortable. Last night, I had a mild fever too.",infectology
129,"I've also been suffering from diarrhea, which has been really uncomfortable. It comes and goes, and it's accompanied by stomach aches and vomiting.",infectology
130,"I've been experiencing chills, fever, and extreme stomach discomfort. I've been generally unhappy, and I can't seem to get rid of these symptoms.",infectology
131,"Because of the vomiting and diarrhea, I've been having a lot of difficulties staying hydrated. There is a mild fever, too, as well as stomach pain.",infectology
132,"I have developed diarrhea. It is accompanied by severe pain in my belly area. I don't feel like eating anything, and most of the time, I have a mild headache.",infectology
133,"I've had a lot of bloating and constipation, which has been really painful. There is a lot of pressure and pain in my stomach area. I get a high fever and chills every night.",infectology
134,"I've had a persistent stomach pain for the past week, and it is not healing even with medication. I feel like vomiting and can't eat anything, and because of which I have become extremely weak.",infectology
135,I am having severe stomach discomfort and diarrhoea. I have a high fever along with a headache. The previous several days have been really unpleasant.,infectology
136,"I am having a terrible pain in my abdominal part, and I've been feeling really nauseated. I'm also experiencing a mild fever. I am really worried.",infectology
137,"I am experiencing constipation and stomach ache. The discomfort has gotten worse, and it is seriously interfering with my everyday life. I feel like I have lost my appetite to eat anything.",infectology
138,"Most of the time I feel fatigued. I don't want to eat anything. I get a high fever and chills every night. Moreover, I have been vomiting since yesterday.",infectology
139,"I have lost my appetite and have noticed a significant weight loss. I have abdominal pain, especially in the area of my stomach and intestines. I am concerned about my health.",infectology
140,The stomach discomfort has been severe and frequent. Vomiting and constipation have also happened. I'm concerned about my health.,infectology
141,"I have been experiencing diarrhea and have had loose, watery stools several times a day. I have lost my appetite and feel nauseated all the time. I am starting to get a mild fever too.",infectology
142,"I am feeling quite weak. I'm having a lot of stomach discomfort and constipation, which is really bothering me. I have a strong urge to vomit at times, and as a result, I can't eat anything.",infectology
143,"There is strange pain in my stomach area. I don't know what the reason behind this is. Moreover, I am starting to get a mild fever along with chills and headaches.",infectology
144,"I've had a high fever, particularly at night. It's been quite unpleasant. There is a little headache, as well as constipation and diarrhea. I don't feel like eating anything.",infectology
145,"I've been having a lot of trouble staying hydrated because of the vomiting and diarrhea. I have a high fever, constipation, and a headache. I am also starting to get a strange pain in my stomach area and I can't do anything physical.",infectology
146,"I have been getting a headache for the past week that has been growing worse. It has been accompanied by stomach pains, constipation, and diarrhea. I don't know what is happening and I am really worried about it.",infectology
147,"I've lost a lot of weight in the last week because I couldn't eat much due to nausea and vomiting. This is followed by a high fever, headache, and stomach pain.",infectology
148,"I am having some diarrhea and constipation, which has been quite concerning. In my stomach, there is a severe, painful ache. I'm constantly exhausted and don't feel like eating anything.",infectology
149,"I've been having diarrhoea and loose, watery stools many times a day. I've lost my appetite and am always sick. I'm also developing a mild fever. Also, my abdominal part pains a lot. I don't know what the reason behind all of these is.",infectology
150,"I've been experiencing intense itching all over my skin, and it's driving me crazy. I also have a rash that's red and inflamed.",infectology
151,"I'm feeling fatigued and have no energy. I can barely keep my eyes open during the day, and I've been feeling lethargic and unable to motivate myself.",infectology
152,"I've had a high fever for the past few days. I don't know what's causing it. Also, I noticed rashes on my skin and it's hard for me to resist scratching.",infectology
153,I've lost my appetite and can't seem to eat anything. I'm worried about my health.,infectology
154,There are small red spots all over my body that I can't explain. It's worrying me. I feel extremely tired and experience a mild fever every night.,infectology
155,"My lymph nodes are swollen, causing discomfort in my neck and armpits. I don't know what's causing it.",infectology
156,"I'm feeling really sick and uncomfortable like something is wrong inside. I don't know what it could be. I noticed small red spots on my arms, which itches if I touch them.",infectology
157,The itching is making it hard for me to sleep at night. I can't get any rest. I have also lost my appetite and feel lethargic.,infectology
158,"I'm worried about this rash on my skin. It's spreading rapidly and causing a lot of discomforts. I can hardly sleep at night because of the itching,",infectology
159,I have no energy and have lost my appetite. I'm feeling really sick and don't know what's wrong.,infectology
160,"I have a skin rash that's red and inflamed, and it's spreading all over my body. I've been experiencing intense itching, especially on my arms and legs.",infectology
161,"I've had a high fever for the past few days, and it's starting to worry me. I don't know what's causing it. Also, I have red spots all over my arms and legs, some of which are swollen.",infectology
162,"I have a skin rash that's red and swollen, and it's spreading all over my body. I have a mild fever and it is causing me a lot of discomforts.",infectology
163,There are small red spots all over my body that I can't explain. The bumps are itchy and uncomfortable and seem to spread rapidly. It's worrying me.,infectology
164,The itching is making it hard for me to sleep at night. I can't seem to get any rest because the rash is so itchy and uncomfortable. I'm feeling really tired and exhausted.,infectology
165,I have no energy and have lost my appetite. I have a high fever and severe headache and don't know what's wrong.,infectology
166,The high fever and swollen lymph nodes are causing me much discomfort. I have a headache and feel weak and fatigued. It's hard for me to concentrate because of the fever.,infectology
167,"The rash on my skin is causing a lot of discomforts. It's red and inflamed, spreading all over my body. The rash is accompanied by intense itching, especially on my arms and legs.",infectology
168,"There are red spots all over my body that I can't explain. The spots are itchy and starting to swell, and they are spreading rapidly.",infectology
169,I have small lymph nodes on my arms and face. The itching is making my day very uncomfortable.,infectology
170,"I have no energy and have lost my appetite. I'm feeling really sick and don't know what's wrong. Also, there are small red spots starting to show on my skin.",infectology
171,"I've had a mild fever for the past few days, and it's starting to worry me. The fever has been accompanied by a severe headache. I feel weak and lethargic.",infectology
172,"I have swollen lymph nodes and red spots all over my body, and they are causing discomfort. I also have a mild fever and feel tired most of the time.",infectology
173,"I've been suffering from severe itching all over my body, and it's driving me insane. I also have a red and irritating rash.",infectology
174,"I have seen rashes on my skin, and it's difficult for me not to scratch. Also, I've had a high fever for several days. I'm not sure what's causing it.",infectology
175,"I have little red spots all over my body that I don't understand. It worries me. I have lost my appetite and every night, I am exhausted and have a severe headache.",infectology
176,"I'm feeling really sick and lost my appetite. I've seen little red patches on my arms, neck and face that itch when I touch them.",infectology
177,I have red spots on my arms and legs and itching them makes it difficult for me to sleep at night. I also have severe headaches and a mild fever.,infectology
178,Enlarged lymph nodes are giving me a great deal of pain. I have rashes all over my body and because of which I cannot sleep all night.,infectology
179,"My skin rash is giving me a lot of pain and discomfort. It's red and swollen, and it's spreading throughout my body.",infectology
180,I have a high fever and a mild headache. I'm tired most of the time and completely lost my appetite.,infectology
181,"My arms and face have small lymph nodes, which are starting to swell. My day has been made really miserable by the constant itching and pain.",infectology
182,"My arms and neck have large lymph nodes, which itch when I touch them. The itching has made my day extremely uncomfortable.",infectology
183,"My skin rash is causing me a great deal of pain. There are also small red spots developing near my neck. Since yesterday, I have had a severe fever, headache and fatigue.",infectology
184,"I am starting to develop tiny red spots all over my face and neck area, and it itches when I touch them. The itching is making my day very uncomfortable.",infectology
185,"I have lost my appetite completely and can't seem to eat anything. I feel like vomiting and feel exhausted. I noticed rashes on my skin, which is really concerning me.",infectology
186,I have a high fever and a severe headache. I can't seem to eat anything and feel like vomiting. There are also some red spots developing on my arms. I am really worried.,infectology
187,I'm worried about these red spots on my skin. It's spreading rapidly and causing a lot of problems. I also developed a mild fever and headache every night.,infectology
188,I'm feeling really nauseous and uneasy. I'm not sure what it might be. I've seen rashes on my arms and legs. I have lost my appetite and feel exhausted every day.,infectology
189,I have swollen red lymph nodes on my arms and legs that itch when I touch them. I'm also suffering from a terrible headache and a mild fever. I don't feel like eating anything and have lost my appetite.,infectology
190,I'm really exhausted and lacking in energy. I can hardly keep my eyes open during the day. I have a mild fever and don't feel like eating anything. I think I have lost my appetite.,infectology
191,"I am exhausted and have lost my appetite. I feel vomiting and can't eat anything. In addition, little red spots are beginning to appear on my skin and near the neck. I am really worried about my health.",infectology
192,There are small red spots all over my body. The spots are itchy and uncomfortable. I also have a mild fever and headache.,infectology
193,"I've been suffering from severe itching all over my body, along with a fever and headache. The red spots are starting to swell and it is getting really uncomfortable every day.",infectology
194,I feel tired every day. There are red spots all over my arms and back and it itches if I touch them. I am really worried and not sure what to do.,infectology
195,"The high fever, swollen lymph nodes and headache are causing me a lot of trouble. I don't feel like eating anything and feel weak and fatigued. It's hard for me to concentrate on my daily life.",infectology
196,"I have a high fever and red spots and rashes all over my body. I feel exhausted and have completely lost my appetite, which has made me weak and lethargic. I am really worried.",infectology
197,I have seen rashes on my arms and neck and it itches if I scratch them. I've also had a high fever for a few days. I have no idea what is causing it. The itching is causing me a lot of discomforts.,infectology
198,"There are red swollen spots all over my body. It itches if I touch them. Moreover, I also have a high fever and headache and always feel exhausted.",infectology
199,I have developed a skin rash on my face and neck. The rash is made up of red sores that are blistering. I am worried about my health.,dermatology
200,"I have developed skin rashes made up of blistering sores. The blistering sores are raised, fluid-filled lesions and they are painful to touch. I am also suffering from a high fever.",dermatology
201,I have a high fever. There are red sores developing near my nose. The sores are painful and have yellow rust-colored ooze coming out from them.,dermatology
202,"There are rashes around my nose, with large red sores. I noticed that the rash was spreading to other parts of my body. Also, I have a high fever every night.",dermatology
203,I have been suffering from a high fever for the last couple of days. Sores are developing near my nose. The sores are painful and I am feeling very uncomfortable these days.,dermatology
204,"My skin has developed rashes, mainly near the nose. The rash is spreading to other parts of my body. I am really about worried about this.",dermatology
205,I have been experiencing extreme fatigue and a high fever. There are rashes near my nose and mouth. The rash is itchy and makes it very difficult for me to sleep.,dermatology
206,"I am suffering from extreme fever and weakness. I have developed sores on my face. The sores itchy and uncomfortable. Often, a yellow colored ooze comes out of the sores.",dermatology
207,I have noticed that the sores are taking longer to heal and are more prone to infection. The sores on my face are swollen and tender to the touch and very uncomfortable to handle.,dermatology
208,There are red sores on my face and near my nose. I have noticed that the rash is spreading more quickly on my neck and chest.,dermatology
209,The sores around my nose have become crusted over and are difficult to touch. A yellow-rust coloured ooze used to come out of the sores. It is taking much more time to handle.,dermatology
210,"I developed a minor rash near my nose a few days ago. Now, the rash is accompanied by a burning sensation and redness of the skin. I feel it is some kind of an infection.",dermatology
211,"Initially, I developed small red sores near my nose and neck. Now, I am having a high fever and the sores have become more painful and inflamed over the past few days.",dermatology
212,"I noticed a skin rash on my face. It was made up of a blistering sore. Today I observed a yellow colored fluid coming out of the sores, I am not sure what it is.",dermatology
213,"The sores on my face are beginning to weep clear fluid. Also, every night I get a high fever and chills, because of which I cannot sleep all night.",dermatology
214,I initially had rashes on my face and near my nose. But now the rash is spreading down my arms and legs.,dermatology
215,"I have a high fever every night and developed sores on my face, particularly near my nose. I have noticed that the sores are taking longer to heal and are more prone to infection.",dermatology
216,"The sores around my nose are now surrounded by red, inflamed skin. The rash has caused my skin to become dry and flaky, with a visible yellow colored fluid coming out of the sores.",dermatology
217,"I have also been experiencing flu-like symptoms, such as fever and body pain. I have noticed red rashes and blistering sores near my nose and lips. It's itchy and uncomfortable.",dermatology
218,I am suffering from mild fever and headache. There are small sores near my nose and rashes on my neck. I am going through a very tough time right now.,dermatology
219,"There is a rash particularly bad around my nose, with large red sores that are painful and have yellow rust-colored ooze coming from them.",dermatology
220,"There are sores on my face and mostly near my nose and lips. The sores are causing discomfort or pain, and there is a discharge of yellow or rust-colored fluid from them.",dermatology
221,"I have been developing sores on my face and nose area. I am not sure what is causing this. The sores on my face are swollen and tender to the touch, and I have a burning sensation and redness of the skin.",dermatology
222,"The rash on my face has become more painful and inflamed over the past few days, and the sores are beginning to weep clear fluid. It is getting extremely painful with each day.",dermatology
223,I have rashes on my face. I am starting to have small sores around my nose and often a yellow fluid comes out of the sores. The sores are becoming extremely painful.,dermatology
224,"I am feeling really sick. I have a high fever and headache. I noticed rashes on my arms and face. I am extremely worried about this. Today, I observed red sores near my nose.",dermatology
225,"I've been suffering from a high fever for the past few days. Sores are forming around my nose and there are rashes on different parts of my body. The sores are severe, and I'm feeling really uneasy these days.",dermatology
226,I have a high fever and am really weak. My face has gotten sores. The blisters are itchy and painful. A yellow ooze frequently leaks from the wounds.,dermatology
227,"I am experiencing skin rashes with burning sores. The blistering sores are fluid-filled, elevated, red colored lesions that are unpleasant to touch. I also have a high fever.",dermatology
228,"I believe I have some skin disease. There are rashes on my face and small sores near my nose. The sores have become red, and painful and some kind of a yellow ooze discharges from them.",dermatology
229,"I have noticed that the sores on my face are healing more slowly and are more likely to become infected. My cheek sores are large, painful to the touch, and extremely difficult to handle. I can't seem to get rid of these sores.",dermatology
230,"I am having a high fever. I've had a skin rash on my face, neck and arms. The rash is made up of burning red lesions. I'm concerned about my health.",dermatology
231,"I've acquired skin rashes with blistering sores. The blistering sores are fluid-filled, elevated lesions that are unpleasant to touch. I'm also running a high fever.",dermatology
232,"I'm running a high temperature. Near my nose, red sores are forming. The lesions are painful, and yellow rust-colored fluid is oozing from them.",dermatology
233,"I have rashes around my nose, as well as huge red sores. The rash is spreading to other places on my body, as I've seen. In addition, I have a high temperature every night.",dermatology
234,My cheeks and nose are covered with red sores. I've observed that the rash on my neck and chest is spreading faster. I am also developing a mild fever.,dermatology
